# Resolved pools list by minerstat for msOS
# Updated Mon Dec 19 14:00:37 UTC 2022
# ip,fqdn
162.19.139.181 ctxc.2miners.com
39.107.213.229 cuckoo.cortexmint.com
35.244.231.52 cuckoocycle.br.nicehash.com
35.244.231.52 cuckoocycle.eu.nicehash.com
35.244.231.52 cuckoocycle.hk.nicehash.com
35.244.231.52 cuckoocycle.in.nicehash.com
35.244.231.52 cuckoocycle.jp.nicehash.com
35.244.231.52 cuckoocycle.usa.nicehash.com
34.149.10.66 daggerhashimoto.br.nicehash.com
34.149.10.66 daggerhashimoto.eu.nicehash.com
34.149.10.66 daggerhashimoto.hk.nicehash.com
34.149.10.66 daggerhashimoto.in.nicehash.com
34.149.10.66 daggerhashimoto.jp.nicehash.com
34.149.10.66 daggerhashimoto.usa.nicehash.com
35.202.11.182 dash-asia.luxor.tech
35.202.11.182 dash-eu.luxor.tech
217.182.138.7 dash.coinmine.pl
8.217.23.131 dash.f2pool.com
16.163.222.103 dash.ss.poolin.com
217.182.199.85 dash.suprnova.cc
138.201.198.155 dbix.hashcity.org
159.69.56.113 dbix.pool.sexy
217.182.138.7 dcr-eu.coinmine.pl
35.202.11.182 dcr-eu.luxor.tech
217.182.138.7 dcr-us.coinmine.pl
35.202.11.182 dcr-us.luxor.tech
8.210.145.80 dcr.antpool.com
217.182.138.7 dcr.coinmine.pl
47.243.129.95 dcr.f2pool.com
16.162.128.244 dcr.ss.poolin.com
51.81.56.15 de.ckpool.org
142.112.7.95 de.ehpro.ca
23.91.82.154 de.equihash.pro
134.122.86.59 de.stratu.ms
142.132.210.169 de01.supportxmr.com
142.132.147.187 de02.supportxmr.com
34.111.72.227 decred.br.nicehash.com
198.50.168.213 decred.eu.mine.zpool.ca
34.111.72.227 decred.eu.nicehash.com
34.111.72.227 decred.hk.nicehash.com
34.111.72.227 decred.in.nicehash.com
198.50.168.213 decred.jp.mine.zpool.ca
34.111.72.227 decred.jp.nicehash.com
198.50.168.213 decred.na.mine.zpool.ca
34.111.72.227 decred.usa.nicehash.com
198.50.168.213 dedal.eu.mine.zpool.ca
138.197.221.255 defis-us.ravepool.com
47.107.15.105 dero.antpool.com
188.165.198.144 dero.miner.rocks
35.76.39.213 dero.ss.dxpool.com
47.243.167.207 dgb-odocrypt.f2pool.com
47.243.167.207 dgb-scrypt.f2pool.com
47.243.167.207 dgb-sha256d.f2pool.com
5.9.193.22 dgbo.suprnova.cc
5.9.193.22 dgbq.suprnova.cc
54.37.81.148 dgbs.suprnova.cc
157.90.229.215 dig.wazn.io
52.10.44.115 digihash.co
108.161.219.201 dlinodes.com
178.128.242.134 donate.v2.xmrig.com
20.193.89.74 duckiepool.com
103.224.212.221 dvt.gomine.pro
35.76.183.7 dxpool.com
145.239.0.126 dyn.suprnova.cc
34.111.115.126 eaglesong.eu.nicehash.com
34.111.115.126 eaglesong.hk.nicehash.com
34.111.115.126 eaglesong.usa.nicehash.com
104.156.227.248 east.us.rvn.minermore.com
198.50.168.213 eccak.na.mine.zpool.ca
185.178.208.137 egem-esoteria.icanmining.ru
199.59.243.222 egem-eu.upool.in
199.59.243.222 egem-us.upool.in
45.43.30.3 egem.digipools.org
